Canonical Name,lat,long
"Morris,Manitoba,Canada",49.353316,-97.3655648
"Neepawa,Manitoba,Canada",50.2319353,-99.4637261
"Nelson House,Manitoba,Canada",55.7851074,-98.8850455
"Newton,Manitoba,Canada",49.9274518,-98.0780976
"Niverville,Manitoba,Canada",49.605638,-97.0385481
"Oak Bluff,Manitoba,Canada",49.7746775,-97.3236628
"Onanole,Manitoba,Canada",50.6245656,-99.9660486
"Otterburne,Manitoba,Canada",49.5000076,-97.0500144
"Pinawa,Manitoba,Canada",50.15,-95.883333
"Pine Falls,Manitoba,Canada",50.5644747,-96.2175535
"Portage la Prairie,Manitoba,Canada",49.972422,-98.289185
"Rivers,Manitoba,Canada",50.0310937,-100.2342492
"Russell,Manitoba,Canada",50.7775948,-101.2829474
"Selkirk,Manitoba,Canada",50.146986,-96.880188
"Shoal Lake,Manitoba,Canada",50.4378995,-100.5911707
"Snow Lake,Manitoba,Canada",54.881347,-100.020905
"Souris,Manitoba,Canada",49.6210094,-100.2582479
"St-Lazare,Manitoba,Canada",50.45,-101.3
"Ste. Agathe,Manitoba,Canada",49.5668153,-97.182039
"Ste. Anne,Manitoba,Canada",49.671608,-96.6539319
"Steinbach,Manitoba,Canada",49.530557,-96.69342
"Stonewall,Manitoba,Canada",50.1342275,-97.3287254
"Stony Mountain,Manitoba,Canada",50.0877777,-97.2192172
"Swan Lake,Manitoba,Canada",49.4,-98.8
"Swan River,Manitoba,Canada",51.9667188,-101.5617688
"Teulon,Manitoba,Canada",50.383333,-97.266667
"The Pas,Manitoba,Canada",53.86152295,-101.197135684882
"Thompson,Manitoba,Canada",55.743347,-97.863464
"Treherne,Manitoba,Canada",49.633333,-98.7
"Virden,Manitoba,Canada",49.8485092,-100.9322654
"Wawanesa,Manitoba,Canada",49.5954606,-99.6841023
"Winkler,Manitoba,Canada",49.187089,-97.937622
"Winnipeg,Manitoba,Canada",49.8955367,-97.1384584
"Atholville,New Brunswick,Canada",47.9889485,-66.7205611
"Bathurst,New Brunswick,Canada",47.63308625,-65.6466824137818
"Beresford,New Brunswick,Canada",47.69923155,-65.7136816892424
"Bloomfield Ridge,New Brunswick,Canada",45.5635282,-65.6857356
"Bouctouche,New Brunswick,Canada",46.4735119,-64.7236147
"Clair,New Brunswick,Canada",47.2526505,-68.6033696
"West Isles,New Brunswick,Canada",45.897833,-64.381132
"Dieppe,New Brunswick,Canada",46.0945258,-64.7354772
"Doaktown,New Brunswick,Canada",46.5574196,-66.1311055
"Edmundston,New Brunswick,Canada",47.364409,-68.328094
"Florenceville,New Brunswick,Canada",46.4531007,-67.6068386
"Fredericton,New Brunswick,Canada",45.966425,-66.645813
"Juniper,New Brunswick,Canada",46.5509804,-67.2211291
"Memramcook,New Brunswick,Canada",45.9763743,-64.5669642
"Miramichi,New Brunswick,Canada",47.032695,-65.494995
"Moncton,New Brunswick,Canada",46.097995,-64.80011
"Mount Pisgah,New Brunswick,Canada",45.7951639,-65.4124618
"Newcastle,New Brunswick,Canada",47.0344092,-65.5369240847553
"Nigadoo,New Brunswick,Canada",47.7392737,-65.7121059
"Oromocto,New Brunswick,Canada",45.8474496,-66.471212
"Paquetville,New Brunswick,Canada",47.666832,-65.1077929
"Quispamsis,New Brunswick,Canada",45.4287577,-65.9551378
"Rexton,New Brunswick,Canada",46.641481,-64.8645487
"Richibucto,New Brunswick,Canada",46.6742351,-64.8695269
"Richibucto Road,New Brunswick,Canada",45.9527696,-66.5874715
"Rothesay,New Brunswick,Canada",45.3815475,-65.9879398
"Sackville,New Brunswick,Canada",45.8999177,-64.3655256
"Shediac,New Brunswick,Canada",46.219454,-64.5492146
"Shippagan,New Brunswick,Canada",47.74983015,-64.7299844171691
"Saint-Basile,New Brunswick,Canada",47.3554797,-68.2236555
"Saint George,New Brunswick,Canada",45.1275604,-66.8269836
"Saint John,New Brunswick,Canada",45.278752,-66.058044
"Saint-Louis de Kent,New Brunswick,Canada",46.7377084,-64.9719715
"Saint Stephen,New Brunswick,Canada",45.2004005,-67.2798634
"Saint-Paul,New Brunswick,Canada",46.3263706,-65.0177554
"Saint-Quentin,New Brunswick,Canada",47.5129555,-67.3906756
"Sussex,New Brunswick,Canada",45.7234763,-65.5104239
"Tracadie-Sheila,New Brunswick,Canada",47.515751,-64.9127856
"Welshpool,New Brunswick,Canada",44.8903969,-66.9559413
"Woodstock,New Brunswick,Canada",46.150346,-67.573471
"Baie Verte,Newfoundland and Labrador,Canada",49.938848,-56.196442
"Beaumont,Newfoundland and Labrador,Canada",49.6140846,-55.6786192
"Catalina,Newfoundland and Labrador,Canada",48.52716405,-53.0715739283452
"Clarenville,Newfoundland and Labrador,Canada",48.1679902,-53.9646413
"Corner Brook,Newfoundland and Labrador,Canada",48.95317,-57.947388
"Francois,Newfoundland and Labrador,Canada",47.5803131,-56.7478424
"Gander,Newfoundland and Labrador,Canada",48.9592291,-54.6187879
"Happy Valley-Goose Bay,Newfoundland and Labrador,Canada",53.2964352,-60.3111895
"Grand Falls,Newfoundland and Labrador,Canada",48.929718,-55.655365
"Labrador City,Newfoundland and Labrador,Canada",52.9422944,-66.9177291
"Mount Pearl,Newfoundland and Labrador,Canada",47.51822475,-52.815416652132
"Postville,Newfoundland and Labrador,Canada",54.9114678,-59.7705386
"Shoal Harbour,Newfoundland and Labrador,Canada",48.1846162,-53.9764516
"St. John's,Newfoundland and Labrador,Canada",47.561701,-52.715149
"Stephenville,Newfoundland and Labrador,Canada",48.5452022,-58.5871146
"Valleyfield,Newfoundland and Labrador,Canada",49.1282033,-53.6163276
"Wabush,Newfoundland and Labrador,Canada",52.8999927,-66.8701732
"Windsor,Newfoundland and Labrador,Canada",48.9516307,-55.6635855
"Amherst,Nova Scotia,Canada",45.8347665,-64.2132284
"Antigonish,Nova Scotia,Canada",45.7035589,-61.8626826
"Barrington,Nova Scotia,Canada",43.5645545,-65.5641098
"Bedford,Nova Scotia,Canada",44.7303901,-63.6582365
"Bridgewater,Nova Scotia,Canada",44.3774134,-64.5193946
"Dartmouth,Nova Scotia,Canada",44.6799707,-63.5720232
"Digby,Nova Scotia,Canada",44.6194028,-65.758575
"Enfield,Nova Scotia,Canada",44.9475484,-63.5962058
"Halifax,Nova Scotia,Canada",44.8543667,-63.137798
"Hubbards,Nova Scotia,Canada",44.6362079,-64.0710425
"Kentville,Nova Scotia,Canada",45.0784875,-64.495212
"Lawrencetown,Nova Scotia,Canada",44.6516314,-63.3606144
"Mahone Bay,Nova Scotia,Canada",44.4488931,-64.387173
"New Glasgow,Nova Scotia,Canada",45.5869474,-62.6483547
"New Minas,Nova Scotia,Canada",45.0659745,-64.4556651
"North Sydney,Nova Scotia,Canada",46.2105845,-60.2470914
"Port Hawkesbury,Nova Scotia,Canada",45.6180851,-61.3574589
"Sheet Harbour,Nova Scotia,Canada",44.9273954,-62.5431429
"Stellarton,Nova Scotia,Canada",45.5574527,-62.6591139
"Sydney,Nova Scotia,Canada",46.137977,-60.194092
"Terence Bay,Nova Scotia,Canada",44.4644036,-63.7164899
"Troy,Nova Scotia,Canada",45.6946625,-61.4400982
"Truro,Nova Scotia,Canada",45.366668,-63.300006
"West Bay,Nova Scotia,Canada",45.3721337,-64.3945712
"Weymouth,Nova Scotia,Canada",44.4048147,-65.9992442
"Windsor,Nova Scotia,Canada",44.9905115,-64.1363749
"Wolfville,Nova Scotia,Canada",45.0914073,-64.3645102
"Yarmouth,Nova Scotia,Canada",43.8372828,-66.1156037
"Fort Providence,Northwest Territories,Canada",61.3523087,-117.6489862
"Fort Simpson,Northwest Territories,Canada",61.8631427,-121.3542768
"Inuvik,Northwest Territories,Canada",73.6585432,-118.4410095
"Lutselk'e,Northwest Territories,Canada",62.4065739,-110.7346434
"Norman Wells,Northwest Territories,Canada",65.282401,-126.8327253
"Rae,Northwest Territories,Canada",62.8316087,-116.0495065
"Wekweeti,Northwest Territories,Canada",64.1905467,-114.1842771
"Trout Lake,Northwest Territories,Canada",60.5783835,-121.128815971109
"Wrigley,Northwest Territories,Canada",63.227706,-123.4653841
"Yellowknife,Northwest Territories,Canada",62.4710386,-114.4467513
"Arviat,Nunavut,Canada",61.1663218,-94.1828017931574
"Baker Lake,Nunavut,Canada",64.3332549,-96.0209787196412
"Cambridge Bay,Nunavut,Canada",69.1126414,-105.0615077
"Cape Dorset,Nunavut,Canada",64.2083522,-76.524540567336
"Clyde River,Nunavut,Canada",70.4683885,-68.5888051
"Gjoa Haven,Nunavut,Canada",68.64252755,-95.878297028089
"Igloolik,Nunavut,Canada",69.3788839,-81.7947989
"Iqaluit,Nunavut,Canada",63.7577822,-68.5587568
"Pangnirtung,Nunavut,Canada",66.14651685,-65.7183192791855
"Pond Inlet,Nunavut,Canada",72.6976743,-77.9574381
"Rankin Inlet,Nunavut,Canada",62.8030269,-92.0868012
"Acton,Ontario,Canada",43.6340679,-80.0351117
"Agincourt,Ontario,Canada",43.7853531,-79.2785494
"Ajax,Ontario,Canada",43.850374,-79.024658
"Alexandria,Ontario,Canada",45.3112037,-74.6367573
"Alliston,Ontario,Canada",44.1534596,-79.869157
"Almonte,Ontario,Canada",45.226049,-76.1945277
